Date,Hour,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
4,10,188.33782054839835,0.8785896,195.37118314149262,33.486906357673135,1411.9011866800688,5.0,0.0,0.0,0.0,10.0,35.408298755186415,0.0,0.0,0.0,152.92952179321193
4,11,558.8981758166022,0.94522128,579.7698919259361,0.0,5159.95203814083,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,558.8981758166022
4,12,883.7124433612157,0.93573552,916.7141528643319,0.0,8158.755960492551,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,883.7124433612157
4,13,682.3166528960319,0.92220096,707.7973577759664,0.0,6299.396484206104,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,682.3166528960319
4,14,1128.3687189152063,0.92798496,1170.5069698290517,0.0,10417.512031478569,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1128.3687189152063
4,15,679.9218495027816,0.92243232,705.3131218908525,0.0,6277.286784828587,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,679.9218495027816
4,16,874.71068611943,0.93492576,907.3762304143465,0.0,8075.648450687684,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,874.71068611943
4,17,328.5916890319926,0.99669888,340.86274795849846,0.0,3033.678456830636,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,328.5916890319926
4,18,263.5377863375715,0.83613504,273.37944640826953,20.017653410788693,2228.11856680953,3.0,0.0,0.0,0.0,13.0,22.200000000000003,0.0,0.0,0.0,241.3377863375715
4,19,311.020764557124,0.77054448,322.6356478808362,191.98740051562388,745.2834329177523,35.0,0.0,0.0,0.0,6.0,230.29568260962816,0.0,0.0,0.0,80.72508194749584
4,20,245.1351108198713,0.71871984,254.28953404551362,191.17991679977257,0.0,34.0,0.0,0.0,0.0,0.0,245.1351108198713,0.0,0.0,0.0,0.0
4,21,245.1351108198719,0.6623836799999999,254.28953404551368,176.85422092345908,0.0,35.0,0.0,0.0,0.0,0.0,245.1351108198719,0.0,0.0,0.0,0.0
4,22,245.13511081987141,0.43888992,254.28953404551362,120.02209683097922,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987141,0.0,0.0,0.0,0.0
4,23,245.135110819872,0.3565257599999999,254.28953404551365,99.07775296252913,0.0,35.0,0.0,0.0,0.0,0.0,245.135110819872,0.0,0.0,0.0,0.0
5,0,245.13511081987178,0.34738704,254.28953404551362,96.75387211195664,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987178,0.0,0.0,0.0,0.0
5,1,245.1351108198718,0.3256392,254.28953404551365,91.22362401186025,0.0,35.0,0.0,0.0,0.0,0.0,245.1351108198718,0.0,0.0,0.0,0.0
5,2,245.1351108198719,0.32020224,254.28953404551368,89.8410619868362,0.0,35.0,0.0,0.0,0.0,0.0,245.1351108198719,0.0,0.0,0.0,0.0
5,3,245.13511081987141,0.3211276799999999,254.28953404551362,90.07639169322319,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987141,0.0,0.0,0.0,0.0
5,4,245.13511081987144,0.33119184,254.28953404551362,92.63560225018277,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987144,0.0,0.0,0.0,0.0
5,5,245.13511081987127,0.4604064,254.28953404551362,125.49351250447873,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987127,0.0,0.0,0.0,0.0
5,6,245.13511081987252,0.7253136000000001,254.28953404551368,192.85664095778048,0.0,37.0,0.0,0.0,0.0,0.0,245.13511081987252,0.0,0.0,0.0,0.0
5,7,216.7402489626544,0.98941104,224.83428315628387,229.8955366977862,0.0,30.0,0.0,0.0,0.0,0.0,216.7402489626544,0.0,0.0,0.0,0.0
5,8,245.13511081987198,1.08207072,254.28953404551368,283.57624276999996,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987198,0.0,0.0,0.0,0.0
5,9,210.63556700117724,1.2484185600000002,218.50162551989442,101.2190271874103,1241.709886455243,11.0,0.0,0.0,0.0,6.0,76.14024896265431,0.0,0.0,0.0,134.4953180385229
5,10,245.5254221526507,1.48938,254.6944213201776,46.748348547718656,1993.502341450821,4.0,0.0,0.0,0.0,10.0,29.6,0.0,0.0,0.0,215.92542215265064
5,11,237.85449433500025,1.6153555199999998,246.737027318465,0.0,2195.9595431343387,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,237.85449433500025
5,12,805.3884722468524,1.61940432,835.4652201730835,0.0,7435.640459540444,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,805.3884722468524
5,13,962.4162457240104,1.64936544,998.3571013734548,0.0,8885.378202223746,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,962.4162457240104
5,14,764.0649400905822,1.7282592,792.5984855711434,0.0,7054.126521583176,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,764.0649400905822
5,15,843.9187184974388,1.7953536,875.4343552877998,0.0,7791.365762061419,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,843.9187184974388
5,16,524.443765250844,1.95024912,544.0288021274316,0.0,4841.85633893414,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,524.443765250844
5,17,470.2242390247966,2.19826704,487.784480316179,0.0,4341.281874813994,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,470.2242390247966
5,18,232.44550746395987,2.19792,241.126045087096,85.63043568464875,1804.4242909017046,5.0,0.0,0.0,0.0,12.0,37.0,0.0,0.0,0.0,195.44550746395987
5,19,322.89151423425807,2.00947728,334.9497035625119,519.4060247831524,717.8755087012862,34.0,0.0,0.0,0.0,4.0,245.13511081987158,0.0,0.0,0.0,77.7564034143865
5,20,248.7538579286151,1.8514584,258.04342108777837,479.22347741755897,33.40959467615644,35.0,0.0,0.0,0.0,1.0,245.13511081987187,0.0,0.0,0.0,3.618747108743236
5,21,245.13511081987173,1.71923616,254.28953404551365,445.6007456175046,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987173,0.0,0.0,0.0,0.0
5,22,201.45560165974945,1.6330545599999997,208.9788398960087,348.1910470362447,0.0,29.0,0.0,0.0,0.0,0.0,201.45560165974945,0.0,0.0,0.0,0.0
5,23,245.13511081987187,1.469136,254.28953404551362,382.0028924663961,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987187,0.0,0.0,0.0,0.0
6,0,237.4124481327767,1.24020528,246.27847316678415,313.58768023360454,0.0,34.0,0.0,0.0,0.0,0.0,237.4124481327767,0.0,0.0,0.0,0.0
6,1,242.18755186721734,1.1695247999999998,251.23190027720008,302.13771382448755,0.0,34.0,0.0,0.0,0.0,0.0,242.18755186721734,0.0,0.0,0.0,0.0
6,2,241.92878959505802,1.11897264,250.96347468367333,289.12815282239256,0.0,35.0,0.0,0.0,0.0,0.0,241.92878959505802,0.0,0.0,0.0,0.0
6,3,236.0846118757267,0.95250912,244.90104966362017,241.37670804603684,0.0,34.0,0.0,0.0,0.0,0.0,236.0846118757267,0.0,0.0,0.0,0.0
6,4,230.07634854771237,0.94776624,238.668411356551,234.1017872540734,0.0,34.0,0.0,0.0,0.0,0.0,230.07634854771237,0.0,0.0,0.0,0.0
6,5,241.08049792530872,0.97205904,250.0835040719007,251.37369487274782,0.0,34.0,0.0,0.0,0.0,0.0,241.08049792530872,0.0,0.0,0.0,0.0
6,6,245.1351108198718,1.124988,254.28953404551365,294.4896579037007,0.0,35.0,0.0,0.0,0.0,0.0,245.1351108198718,0.0,0.0,0.0,0.0
6,7,245.13511081987122,1.2024936,254.28953404551362,314.19852081361853,0.0,34.0,0.0,0.0,0.0,0.0,245.13511081987122,0.0,0.0,0.0,0.0
6,8,249.33101103002147,1.25524368,258.64212762450694,318.5867341127052,101.08764293959685,34.0,0.0,0.0,0.0,1.0,238.3817427385865,0.0,0.0,0.0,10.949268291434983
6,9,179.28619304627662,1.27155456,185.98152805630554,179.70026768258066,429.3690512601525,19.0,0.0,0.0,0.0,5.0,132.7792531120309,0.0,0.0,0.0,46.506939934245736
